bp,bm,cp,cm
0,0,0,0
0,0,10,10
0,0,21,21
0,0,33,33
0,0,44,44
0,0,56,56
0,0,67,68
0,0,79,79
0,0,91,90
0,0,102,102
0,0,114,114
0,0,125,125
0,0,136,136
0,0,148,148
0,0,160,160
0,0,172,172
0,0,184,184
0,0,195,195
0,0,206,206
0,0,218,218
0,0,229,229
0,0,240,240
0,0,251,252
0,0,263,263
0,0,274,274
0,0,286,286
0,0,296,297
0,0,308,308
0,0,319,319
0,0,330,330
0,0,342,342
0,0,353,353
0,0,364,364
0,0,375,375
0,0,386,386
0,0,397,397
0,0,408,408
0,0,420,419
0,0,431,430
0,0,441,441
0,0,453,453
0,0,464,464
0,0,475,476
0,0,487,487
0,0,498,498
0,0,509,510
0,0,520,520
0,0,530,531
0,0,540,540
0,0,552,552
0,0,563,563
0,0,574,574
0,0,585,585
0,0,596,596
0,0,607,606
0,0,618,618
0,0,629,629
0,0,640,640
0,0,650,650
0,0,662,662
0,0,673,673
0,0,684,684
0,0,695,695
0,0,706,706
0,0,717,717
0,0,728,728
0,0,739,739
0,0,750,750
0,0,761,760
0,0,772,772
0,0,782,782
0,0,794,793
0,0,804,805
0,0,815,815
0,0,826,827
0,0,837,837
0,0,848,848
0,0,859,859
0,0,869,869
0,0,880,880
0,0,891,891
0,0,901,901
0,0,911,911
0,0,922,922
0,0,933,933
0,0,944,944
0,0,954,955
0,0,966,966
0,0,978,977
0,0,988,988
0,0,998,998
0,0,1008,1009
0,0,1019,1019
0,0,1030,1031
0,0,1042,1042
0,0,1053,1053
0,0,1064,1064
0,0,1074,1074
0,0,1086,1085
0,0,1096,1096
0,0,1106,1106
0,0,1117,1117
0,0,1128,1128
0,0,1139,1139
0,0,1149,1149
0,0,1160,1161
0,0,1171,1172
0,0,1182,1183
0,0,1193,1193
0,0,1204,1204
0,0,1215,1215
0,0,1225,1225
0,0,1235,1236
0,0,1247,1246
0,0,1258,1258
0,0,1269,1268
0,0,1279,1279
0,0,1291,1291
0,0,1301,1301
0,0,1312,1312
0,0,1323,1323
0,0,1335,1335
0,0,1345,1345
0,0,1356,1356
0,0,1367,1367
0,0,1377,1378
0,0,1387,1388
0,0,1400,1400
0,0,1410,1411
0,0,1422,1422
0,0,1431,1431
0,0,1442,1442
0,0,1453,1453
0,0,1463,1463
0,0,1474,1474
0,0,1484,1484
0,0,1495,1495
0,0,1505,1505
0,0,1516,1516
0,0,1528,1528
0,0,1538,1538
0,0,1549,1548
0,0,1560,1560
0,0,1571,1571
0,0,1582,1582
0,0,1593,1593
0,0,1604,1604
0,0,1615,1615
0,0,1627,1626
0,0,1637,1637
0,0,1647,1648
0,0,1658,1658
0,0,1668,1668
0,0,1679,1680
0,0,1691,1691
0,0,1701,1701
0,0,1712,1712
0,0,1722,1721
0,0,1732,1731
0,0,1743,1743
0,0,1753,1753
0,0,1763,1764
0,0,1774,1774
0,0,1785,1785
0,0,1796,1796
0,0,1806,1806
0,0,1816,1816
0,0,1826,1825
0,0,1836,1835
0,0,1847,1846
0,0,1857,1857
0,0,1869,1868
0,0,1879,1879
0,0,1891,1890
0,0,1901,1901
0,0,1911,1911
0,0,1921,1921
0,0,1932,1932
0,0,1943,1943
0,0,1954,1954
0,0,1964,1964
0,0,1975,1974
0,0,1986,1986
0,0,1996,1995
0,0,2006,2006
0,0,2016,2016
0,0,2027,2026
0,0,2037,2037
0,0,2047,2047
0,0,2058,2058
0,0,2068,2069
0,0,2078,2078
0,0,2089,2089
0,0,2099,2100
0,0,2110,2109
0,0,2121,2121
0,0,2131,2131
0,0,2140,2140
0,0,2151,2152
0,0,2161,2162
0,0,2173,2172
0,0,2183,2182
0,0,2193,2193
0,0,2203,2203
0,0,2213,2213
0,0,2224,2223
0,0,2234,2234
0,0,2245,2245
0,0,2255,2255
0,0,2265,2266
0,0,2275,2276
0,0,2287,2287
0,0,2298,2298
0,0,2309,2310
0,0,2319,2319
0,0,2330,2330
0,0,2341,2341
0,0,2351,2351
0,0,2362,2362
0,0,2373,2373
0,0,2384,2383
0,0,2394,2394
0,0,2405,2404
0,0,2415,2415
0,0,2425,2425
0,0,2435,2435
0,0,2445,2445
0,0,2455,2456
0,0,2466,2466
0,0,2476,2477
0,0,2488,2487
0,0,2498,2498
0,0,2509,2509
0,0,2517,2518
0,0,2529,2529
0,0,2538,2539
0,0,2550,2549
0,0,2559,2560
0,0,2570,2570
0,0,2581,2580
0,0,2591,2591
0,0,2602,2602
0,0,2611,2611
0,0,2621,2621
0,0,2631,2631
0,0,2641,2641
0,0,2652,2651
0,0,2662,2662
0,0,2673,2672
0,0,2683,2683
0,0,2692,2692
0,0,2702,2703
0,0,2712,2712
0,0,2722,2722
0,0,2733,2732
223,223,0,0
223,223,10,10
223,223,21,21
223,223,33,33
223,223,44,44
223,223,56,56
223,223,67,67
223,223,79,79
223,223,90,90
223,223,102,102
223,223,114,114
223,223,125,125
223,223,136,136
223,223,148,148
223,223,160,160
223,223,171,172
223,223,184,183
223,223,195,195
223,223,206,206
223,223,218,218
223,223,230,230
223,223,240,240
223,223,251,252
223,223,263,263
223,223,274,273
223,223,286,286
223,223,296,296
223,223,308,307
223,223,319,319
223,223,330,330
223,223,342,342
223,223,353,353
223,223,364,364
223,223,375,375
223,223,386,386
223,223,397,397
223,223,408,408
223,223,419,419
223,223,431,431
223,223,442,442
223,223,453,453
222,223,464,464
223,223,475,475
223,223,487,487
223,223,498,498
223,223,509,509
223,223,519,519
223,223,531,530
223,223,540,541
223,223,552,552
223,223,563,562
223,223,574,574
223,223,585,585
223,223,596,596
223,223,607,607
223,223,618,618
223,223,629,629
223,223,640,640
223,223,651,651
223,223,662,662
223,223,673,673
223,223,684,684
223,223,695,695
223,223,706,706
223,223,717,716
223,223,728,728
223,223,739,739
222,223,750,750
223,223,761,761
223,223,772,771
223,223,782,782
223,223,793,794
223,223,805,805
223,223,816,815
223,223,827,827
223,223,837,838
223,223,848,848
223,223,859,859
223,223,869,869
223,223,881,880
223,223,891,891
222,223,902,901
223,223,911,912
223,223,922,922
223,223,933,933
223,223,944,944
223,223,955,955
223,223,966,966
223,223,977,977
223,223,988,988
223,223,999,999
223,223,1009,1009
223,223,1019,1019
223,223,1030,1030
223,223,1041,1042
223,223,1053,1052
223,223,1063,1064
223,223,1074,1074
223,223,1085,1085
223,223,1096,1096
223,223,1107,1107
223,223,1117,1117
223,223,1128,1128
223,223,1138,1138
223,223,1149,1149
223,223,1161,1161
223,223,1172,1172
222,223,1183,1183
223,223,1193,1193
223,223,1205,1205
223,223,1214,1215
223,223,1225,1225
223,223,1236,1236
223,223,1247,1247
223,223,1258,1258
223,223,1268,1268
223,223,1279,1279
223,223,1291,1290
223,222,1301,1301
223,223,1312,1312
223,223,1323,1323
223,223,1335,1335
223,223,1345,1345
223,223,1356,1356
223,223,1367,1367
223,223,1377,1378
223,223,1388,1388
223,223,1400,1400
223,223,1410,1411
223,223,1421,1421
223,223,1431,1431
223,223,1442,1442
223,223,1453,1453
223,223,1463,1463
223,223,1473,1474
223,223,1485,1484
223,223,1495,1495
223,223,1505,1506
223,223,1517,1516
223,223,1528,1528
223,223,1538,1539
223,223,1549,1549
223,223,1560,1560
223,223,1572,1571
223,223,1582,1583
223,223,1593,1593
223,223,1604,1604
223,223,1615,1615
223,223,1627,1627
223,223,1637,1637
223,223,1648,1648
223,223,1658,1658
223,223,1669,1668
223,223,1680,1680
223,223,1691,1691
223,223,1701,1701
223,223,1713,1712
223,223,1722,1722
223,223,1732,1732
223,223,1743,1743
223,223,1754,1754
223,223,1764,1764
223,223,1774,1775
223,222,1785,1785
223,223,1796,1796
223,223,1806,1805
223,223,1816,1816
223,223,1826,1825
223,223,1836,1836
223,223,1847,1846
223,223,1857,1857
223,223,1869,1868
223,223,1879,1879
223,223,1890,1890
223,223,1901,1901
223,223,1911,1911
223,223,1921,1921
223,223,1932,1932
223,223,1943,1943
222,223,1954,1954
223,223,1965,1965
223,223,1975,1975
