bd,cd,bp,bm,cp,cm
90,68,1815,493,82,741
90,70,1816,495,83,763
90,72,1816,496,85,784
90,74,1819,498,87,803
90,76,1821,499,89,826
90,78,1822,500,90,847
90,80,1823,502,92,868
90,82,1825,503,93,890
90,84,1826,505,95,911
90,86,1827,506,96,933
90,88,1829,507,98,953
90,90,1830,509,100,974
90,92,1831,510,101,996
90,94,1833,512,103,1016
90,96,1834,513,105,1037
90,98,1835,514,106,1058
90,100,1837,516,108,1080
90,102,1838,517,109,1100
90,104,1839,518,111,1123
90,106,1841,520,112,1144
90,108,1843,521,114,1167
90,110,1843,523,116,1188
90,112,1845,524,117,1209
90,114,1846,525,119,1230
90,116,1848,526,121,1252
90,118,1848,527,122,1273
90,120,1850,529,124,1293
90,122,1851,530,125,1315
90,124,1852,531,127,1336
90,126,1854,533,128,1359
90,128,1855,534,130,1379
90,130,1856,535,131,1399
90,132,1857,536,133,1420
90,134,1858,537,134,1439
90,136,1860,539,136,1461
90,138,1861,540,138,1482
90,140,1862,541,139,1503
90,142,1863,543,141,1525
90,144,1865,544,143,1546
90,146,1866,545,144,1567
90,148,1867,546,145,1588
90,150,1868,547,147,1609
90,152,1869,549,149,1631
90,154,1870,550,150,1652
90,156,1871,551,152,1674
90,158,1873,552,153,1695
90,160,1874,553,155,1716
90,162,1875,554,157,1738
90,164,1877,556,158,1759
90,166,1878,557,160,1781
90,168,1878,558,161,1801
90,170,1880,559,163,1821
90,172,1881,560,164,1841
90,174,1882,562,166,1863
90,176,1884,562,168,1884
90,178,1884,564,169,1905
90,180,1885,565,171,1926
90,182,1886,566,173,1947
90,184,1887,567,174,1969
90,186,1889,569,176,1989
90,188,1890,570,178,2010
90,190,1891,570,179,2030
90,192,1892,572,181,2051
90,194,1893,573,182,2072
90,196,1895,574,184,2093
90,198,1895,575,186,2114
90,200,1897,576,188,2137
90,202,1898,577,189,2157
90,204,1899,578,191,2177
90,206,1900,580,193,2198
90,208,1901,581,194,2219
90,210,1902,582,196,2240
90,212,1903,583,198,2262
90,214,1904,584,200,2282
90,216,1906,585,201,2304
90,218,1907,586,203,2325
90,220,1908,587,205,2345
90,222,1909,588,207,2365
90,224,1910,589,208,2386
90,226,1911,590,210,2407
90,228,1911,591,212,2427
90,230,1913,592,214,2448
90,232,1914,593,216,2469
90,234,1914,594,218,2490
90,236,1915,595,219,2509
90,238,1916,596,222,2531
90,240,1916,597,224,2550
90,242,1919,598,226,2572
90,244,1918,599,228,2592
90,246,1920,600,230,2612
90,248,1922,601,232,2633
90,250,1922,602,234,2653
90,252,1923,603,236,2674
90,254,1925,604,239,2695
####
****
10,0,519,370,0,0
10,2,533,385,15,20
10,4,544,396,26,42
10,6,553,405,35,63
10,8,560,412,43,85
10,10,565,417,49,107
10,12,570,422,55,130
10,14,575,426,60,154
10,16,579,430,65,176
10,18,582,433,69,198
10,20,584,436,74,220
10,22,587,439,78,242
10,24,591,442,82,263
10,26,593,444,85,285
10,28,595,447,89,307
10,30,597,449,93,330
10,32,600,451,97,352
10,34,602,453,101,375
10,36,603,455,105,397
10,38,606,457,110,419
10,40,607,458,114,441
10,42,609,460,118,461
10,44,610,462,123,484
10,46,611,463,129,506
10,48,613,465,135,527
10,50,614,466,143,549
10,52,616,467,150,571
10,54,616,468,160,592
10,56,617,469,173,613
10,58,618,469,189,635
10,60,618,469,209,656
10,62,618,470,231,679
10,64,618,470,251,701
10,66,618,470,271,722
10,68,618,470,294,745
10,70,618,470,317,767
10,72,618,470,338,788
10,74,618,470,356,809
10,76,618,470,379,831
10,78,618,470,401,852
10,80,618,469,423,874
10,82,618,469,443,896
10,84,618,470,463,917
10,86,618,469,486,938
10,88,618,470,506,960
10,90,618,470,528,981
10,92,618,470,550,1003
